country,year,co2_production,gni_per_capita,hdi,life_expectancy
Afghanistan,1990,0.209727313,2684.550019,0.273,45.9672
Angola,1990,0.429585937,4845.706901,0.5035217391304347,41.8933
Albania,1990,1.656901718,4742.215529,0.647,73.1439
Andorra,1990,7.461153204,43773.1465,0.8515,78.4063
United Arab Emirates,1990,28.2776718,102433.136,0.728,71.9004
Argentina,1990,3.436043385,13597.68636,0.723,71.7837
Armenia,1990,2.533031897,5210.201884,0.656,68.8209
Antigua and Barbuda,1990,3.515864893,13560.30944,0.7925333333333334,73.4922
Australia,1990,16.47140133,29069.15488,0.865,77.0443
Austria,1990,8.045120443,38902.26267,0.825,75.7396
Azerbaijan,1990,7.094034996,7664.923538,0.6898888888888889,62.3522
Burundi,1990,0.038398906,1124.247756,0.29,44.8599
Belgium,1990,12.0229222,37310.42543,0.816,76.0554
Benin,1990,0.126672794,2133.210151,0.359,53.2918
Burkina Faso,1990,0.066119368,1015.912861,0.3729130434782609,49.4401
Bangladesh,1990,0.136486702,1554.41105,0.397,55.9886
Bulgaria,1990,8.674892761,11851.63683,0.684,71.3571
Bahrain,1990,25.01517348,40832.91015,0.742,72.6677
Bahamas,1990,7.893514634,36393.867,0.808074074074074,70.1331
Bosnia and Herzegovina,1990,4.327217026,9488.932003999998,0.7297727272727272,72.3487
Belarus,1990,10.22127183,8894.805389,0.7642222222222222,69.9347
Belize,1990,1.660552807,4743.719883,0.593,70.7437
Bolivia (Plurinational State of),1990,0.834294511,4352.021297,0.55,56.4221
Brazil,1990,1.467471613,10253.78902,0.61,65.9848
Barbados,1990,4.101005611,13594.20455,0.725,72.7516
Brunei Darussalam,1990,23.91958906,71470.70351,0.77,71.6563
Bhutan,1990,0.241595768,2698.831813,0.6306666666666666,55.9679
Botswana,1990,2.09861077,8240.459233,0.586,60.5327
Central African Republic,1990,0.065271593,1300.800927,0.338,49.6347
Canada,1990,16.62982808,32265.05693,0.86,77.4308
Switzerland,1990,6.636656552,59117.40335,0.851,77.3849
Chile,1990,2.477757749,9441.116542,0.706,72.574
China,1990,2.111385224,1468.498847,0.484,68.0052
CÃ´te d'Ivoire,1990,0.400968496,2811.295935,0.427,52.6026
Cameroon,1990,0.221118891,3262.451152,0.452,54.8679
Congo (Democratic Republic of the),1990,0.122760811,1693.088418,0.386,48.6006
Congo,1990,0.427667576,4373.460798,0.522,55.9261
Colombia,1990,1.718830031,7932.945509,0.61,68.644
Comoros,1990,0.160235572,3055.134915,0.5187272727272728,55.8404
Cabo Verde,1990,0.281887853,2847.479104,0.6371818181818182,65.0227
Costa Rica,1990,0.933823551,9497.759187,0.66,76.6301
Cuba,1990,2.797814133,5270.81556,0.68,74.0389
Cyprus,1990,6.067843703,25084.19268,0.716,73.5387
Czechia,1990,15.87899477,22486.80598,0.742,71.4087
Germany,1990,13.31339354,36587.31592,0.829,75.3588
Djibouti,1990,0.465448731,1918.598699,0.43300000000000005,55.4983
Dominica,1990,0.832502592,8659.548361,0.7066363636363637,69.852
Denmark,1990,10.42057997,36106.21677,0.834,74.8636
Dominican Republic,1990,1.252682066,5941.065938,0.577,67.1102
Algeria,1990,2.979074896,8512.436516,0.591,67.416
Ecuador,1990,1.608631235,7642.568196,0.651,69.3477
Egypt,1990,1.339951964,5930.181584,0.572,64.1459
Eritrea,1990,4.567279106874533,876.2774342,0.4708,49.7688
Spain,1990,5.897431352,26586.92295,0.757,77.0017
Estonia,1990,24.05359924,14002.39524,0.732,69.8312
Ethiopia,1990,0.062364442,762.7729166,0.4077727272727273,44.5567
Finland,1990,11.40229557,34652.00906,0.814,74.9893
Fiji,1990,1.104515265,8473.928246,0.642,65.5076
France,1990,6.935243567,33964.23084,0.791,76.8335
Micronesia (Federated States of),1990,4.567279106874533,3403.066742,0.6151818181818182,67.425
Gabon,1990,4.723282443,16797.8789,0.61,60.3109
United Kingdom,1990,10.50757503,30951.71296,0.804,75.7359
Georgia,1990,2.947157871,10663.57705,0.7622272727272729,68.389
Ghana,1990,0.25660522,2366.337969,0.46,55.6196
Guinea,1990,0.158037669,1403.242987,0.269,47.0044
Gambia,1990,0.207054677,2225.30222,0.343,51.3185
Guinea-Bissau,1990,0.176578372,1692.466553,0.45623529411764707,47.084
Equatorial Guinea,1990,0.14859204,3565.044156,0.5762272727272727,50.8598
Greece,1990,8.158191401,24528.83261,0.759,77.2959
Grenada,1990,1.103071701,8146.417016,0.7784500000000001,70.6834
Guatemala,1990,0.536733632,5418.05672,0.484,62.4728
Guyana,1990,1.518211134,2049.159711,0.509,62.4149
"Hong Kong, China (SAR)",1990,4.739524066,27558.87774,0.788,77.4724
Honduras,1990,0.487699743,3769.440986,0.516,65.2428
Croatia,1990,4.810699497,9488.932003999998,0.8049259259259259,72.2502
Haiti,1990,0.141377058,3527.984246,0.429,52.9753
Hungary,1990,7.056426064,18323.85726,0.72,69.3715
Indonesia,1990,0.828409579,4202.15015,0.526,63.1807
India,1990,0.662467546,1790.407349,0.434,58.6516
Ireland,1990,9.383275157,23391.17612,0.737,74.8418
Iran (Islamic Republic of),1990,3.724637046,8631.088966,0.601,64.3665
Iraq,1990,2.816274284,7251.989012,0.528,58.4355
Iceland,1990,8.737350172,31635.6394,0.811,78.1628
Israel,1990,8.053407632,20864.37796,0.787,77.1942
Italy,1990,7.704879779,36208.56056,0.778,76.9909
Jamaica,1990,3.110534046,8141.983321,0.659,72.3041
Jordan,1990,2.93794817,7568.222007,0.622,69.8538
Japan,1990,9.300872799,35578.79714,0.845,78.9838
Kazakhstan,1990,17.1791407,13703.11871,0.673,64.8758
Kenya,1990,0.239717636,3448.048818,0.474,58.6145
Kyrgyzstan,1990,4.42934127,5142.118591,0.638,64.2722
Cambodia,1990,0.1404252,1007.601253,0.378,55.4341
Kiribati,1990,0.303646409,1877.076693,0.599409090909091,60.9174
Saint Kitts and Nevis,1990,2.639409821,16158.29547,0.7671764705882352,65.1875
Korea (Republic of),1990,5.835934916,12641.31667,0.737,71.9401
Kuwait,1990,18.04333799,43678.51047,0.718,73.2805
Lao People's Democratic Republic,1990,0.120456351,1944.015486,0.405,53.7128
Lebanon,1990,2.807019797,9196.571176,0.7487058823529412,64.4747
Liberia,1990,0.225019172,1825.789144,0.45734782608695645,36.6883
Libya,1990,8.230018025,14478.84909,0.666,69.4231
Saint Lucia,1990,1.300825967,10542.20907,0.69,70.3261
Liechtenstein,1990,6.911320296,86898.22707,0.9139545454545455,75.8628
Sri Lanka,1990,0.221104132,3857.335366,0.636,71.9268
Lesotho,1990,0.864506291,2391.73844,0.479,59.3983
Lithuania,1990,9.677316367,15372.70508,0.734,71.0085
Luxembourg,1990,30.96799034,60748.57162,0.786,75.6045
Latvia,1990,7.37918939,17548.40684,0.73,69.1956
Morocco,1990,0.898842453,3707.987309,0.447,62.4478
Monaco,1990,4.567279106874533,9488.932003999998,0.6685235231455086,75.8078
Moldova (Republic of),1990,8.391538871,14243.82394,0.653,68.0673
Madagascar,1990,0.080150825,1781.244735,0.48373913043478267,51.7009
Maldives,1990,0.771695391,8184.507833,0.6771851851851851,63.5777
Mexico,1990,3.776871228,14478.93425,0.662,69.9707
Marshall Islands,1990,4.567279106874533,3882.06304,0.636,62.1758
North Macedonia,1990,7.105601164,9488.932003999998,0.7189629629629629,71.1968
Mali,1990,0.049969745,1409.193137,0.237,46.6204
Malta,1990,6.653039239,19325.52075,0.73,75.9846
Myanmar,1990,0.102471988,535.9079226,0.333,56.6607
Montenegro,1990,3.114298815,9488.932003999998,0.8064210526315789,75.5211
Mongolia,1990,4.52808765,4504.317395,0.579,58.7649
Mozambique,1990,0.076131344,454.4532422,0.238,44.469
Mauritania,1990,0.419648378,4386.778052,0.397,59.7696
Mauritius,1990,1.384548069,8100.735456,0.626,69.3874
Malawi,1990,0.078710192,931.5504211,0.303,43.3227
Malaysia,1990,3.009979465,9926.576698,0.64,71.3071
Namibia,1990,4.567279106874533,6049.255002,0.579,62.4964
Niger,1990,0.074973298,1132.369387,0.216,41.8517
Nigeria,1990,0.408111544,3067.387527,0.49994736842105264,46.0374
Nicaragua,1990,0.489740583,3020.293253,0.49,63.0963
Netherlands,1990,10.81203182,36296.26729,0.847,77.0067
Norway,1990,8.263631944,36062.79428,0.838,76.5865
Nepal,1990,0.038160368,1575.826344,0.399,54.8333
Nauru,1990,13.1067859,9488.932003999998,0.6685235231455086,61.3557
New Zealand,1990,7.547969909,24214.03722,0.806,75.4242
Oman,1990,6.192827238,30354.70847,0.7835454545454545,69.782
Pakistan,1990,0.630085555,2841.108123,0.4,60.0656
Panama,1990,1.065178654,10345.7302,0.669,71.0972
Peru,1990,0.969615339,4943.405647,0.621,65.1059
Philippines,1990,0.668057082,4139.583826,0.598,65.9093
Palau,1990,4.567279106874533,13380.2102,0.7684545454545456,61.5816
Papua New Guinea,1990,0.466740716,2037.130804,0.37,59.7212
Poland,1990,9.926393156,11133.69745,0.716,70.678
Korea (Democratic People's Rep. of),1990,6.031635258,9488.932003999998,0.6685235231455086,70.21
Portugal,1990,4.581327175,22852.76332,0.701,74.304
Paraguay,1990,0.505657152,8212.272417,0.595,67.9441
"Palestine, State of",1990,0.409736914,4206.261545,0.6952777777777778,67.9337
Qatar,1990,23.95911631,59812.01574,0.758,73.9817
Romania,1990,7.274845077,13289.95661,0.703,69.729
Russian Federation,1990,17.11849304,21447.82461,0.743,68.5354
Rwanda,1990,0.071871105,933.391139,0.43851851851851853,48.4312
Saudi Arabia,1990,12.84340035,43005.69378,0.678,68.9485
Sudan,1990,0.236698285,2739.487825,0.336,49.7321
Senegal,1990,0.417043844,2415.240337,0.373,56.9484
Singapore,1990,14.44941629,38095.46683,0.727,74.9444
Solomon Islands,1990,0.469945425,2237.204991,0.5357391304347826,65.3917
Sierra Leone,1990,0.119594552,1763.828519,0.312,44.0568
El Salvador,1990,0.469651404,5142.350799,0.525,62.5504
San Marino,1990,4.567279106874533,52984.91521,0.855,78.6696
Somalia,1990,0.101161342,1692.608057,0.6685235231455086,47.1055
Serbia,1990,5.930881229,9488.932003999998,0.7485555555555555,70.3146
South Sudan,1990,0.078995045,9488.932003999998,0.40408333333333335,29.9353
Sao Tome and Principe,1990,0.399567147,2393.581054,0.485,61.471
Suriname,1990,4.288097777,11854.23813,0.7250555555555556,64.2298
Slovakia,1990,11.62445584,16449.04038,0.692,70.8202
Slovenia,1990,7.517425445,9488.932003999998,0.8674814814814815,73.5151
Sweden,1990,6.69729523,35365.03368,0.81,77.5883
Eswatini (Kingdom of),1990,1.16725031,5374.793585,0.545,63.0719
Seychelles,1990,2.128666572,14257.99389,0.7738636363636363,69.0142
Syrian Arab Republic,1990,2.97644151,4198.494437,0.562,69.8172
Chad,1990,0.063285939,988.5076021,0.35804545454545456,44.6856
Togo,1990,0.259024691,1751.791508,0.41,54.3697
Thailand,1990,1.554434578,6907.889992,0.576,70.4449
Tajikistan,1990,2.286984364,5229.309607,0.628,61.879
Turkmenistan,1990,8.513974202,10673.69611,0.7191176470588235,63.939
Timor-Leste,1990,4.567279106874533,2822.874942,0.5925499999999999,44.9535
Tonga,1990,0.809348999,4535.219426,0.645,67.2943
Trinidad and Tobago,1990,13.90629555,10497.63719,0.66,68.272
Tunisia,1990,1.592490915,5655.51495,0.576,70.1103
TÃ¼rkiye,1990,2.809784028,13000.46723,0.6,67.7092
Tuvalu,1990,1.233254796,3197.71048,0.559,61.6615
