record_id,country_code,country_name,region,income_level,date,year,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,vector_disease_risk_score_log,month_sin,month_cos,heat_stress,pollution_burden,any_extreme_event,health_vulnerability
1,USA,United States,North America,High,04-01-2015,2015,1,1,37.09,-95.71,331,4.59,0.76,75.7,0,0,0,0,39,82,69.4,31.5,6.6,16.2,1.4,77.3,63627,71.2,90.2,2.028148247,0.5,0.866025404,0,12909,0,57.36666667
2,USA,United States,North America,High,11-01-2015,2015,1,2,37.09,-95.71,331,3.13,-0.5,97,0,0,0,0,17.9,6,70,26.3,5.2,11.4,0,83.6,63627,70.6,94,1.824549292,0.5,0.866025404,0,5924.9,0,55.63333333
3,USA,United States,North America,High,18-01-2015,2015,1,3,37.09,-95.71,331,3.99,-0.14,74.1,0,0,0,0,91.5,137,66.9,33.4,1.3,19.5,0,84.7,63627,63.4,100,0.832909123,0.5,0.866025404,0,30286.5,0,54.56666667
4,USA,United States,North America,High,25-01-2015,2015,1,4,37.09,-95.71,331,6.43,-0.06,87.7,0,0,0,0,5.5,95,47,35,6,9.7,9,84.3,63627,68.1,96.4,1.945910149,0.5,0.866025404,0,1820.5,0,50.03333333
5,USA,United States,North America,High,01-02-2015,2015,2,5,37.09,-95.71,331,9,0.47,75.8,1,0,0,1,37.1,48,61.3,28.3,1.4,22.6,27.3,83.6,63733,69.1,100,0.875468737,0.866025404,0.5,9,12280.1,1,52.9
6,USA,United States,North America,High,08-02-2015,2015,2,6,37.09,-95.71,331,6.44,0.18,151,0,0,0,0,114.1,157,80.2,30.6,0.7,23.7,11.9,78,63733,70.1,97.1,0.530628251,0.866025404,0.5,0,37767.1,0,60.3
7,USA,United States,North America,High,15-02-2015,2015,2,7,37.09,-95.71,331,6.86,0.38,102.1,0,0,0,0,28.9,51,70.3,33.2,5.9,25.4,9.1,81.7,63733,68.5,100,1.931521412,0.866025404,0.5,0,9565.9,0,57.33333333
8,USA,United States,North America,High,22-02-2015,2015,2,8,37.09,-95.71,331,8.34,0.64,102.9,1,0,0,1,0,5,48,33.3,6.4,17.7,20.3,86.7,63733,59.4,95,2.00148,0.866025404,0.5,8.34,0,1,46.9
9,USA,United States,North America,High,01-03-2015,2015,3,9,37.09,-95.71,331,9.58,-0.83,82.2,0,0,0,0,18.8,29,80.3,24.9,5.9,18.3,7.8,84.9,63839,75.7,100,1.931521412,1,6.12E-17,0,6222.8,0,60.3
10,USA,United States,North America,High,08-03-2015,2015,3,10,37.09,-95.71,331,8.25,0.71,74.5,1,0,0,1,20.3,22,59.1,32.5,0.3,18.8,13.7,87.1,63839,71.9,95.2,0.262364264,1,6.12E-17,8.25,6719.3,1,54.5
11,USA,United States,North America,High,15-03-2015,2015,3,11,37.09,-95.71,331,8.83,-0.16,142.7,1,0,0,1,0.7,95,54.1,32,7.3,12.3,13.6,83.2,63839,72.1,100,2.116255515,1,6.12E-17,8.83,231.7,1,52.73333333
12,USA,United States,North America,High,22-03-2015,2015,3,12,37.09,-95.71,331,11.32,-0.34,126.3,0,0,0,0,40.4,73,63.9,22.2,8.1,25.1,20.8,79.1,63839,65.2,96,2.208274414,1,6.12E-17,0,13372.4,0,50.43333333
13,USA,United States,North America,High,29-03-2015,2015,3,13,37.09,-95.71,331,12.28,0.64,132.7,0,0,0,0,57,82,59.6,28.7,2.6,18.1,20.8,82.5,63839,71.4,100,1.280933845,1,6.12E-17,0,18867,0,53.23333333
