year,country,city,pm25,pm10,no2,so2,co,o3,temperature_c,humidity,wind_kph,aqi,record_id,country_code,region,income_level,date,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,vector_disease_risk_score_log,month_sin,month_cos,heat_stress,pollution_burden,any_extreme_event,health_vulnerability,co2_production,gni_per_capita,hdi,life_expectancy
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13182,ARG,South America,Upper-Middle,06-01-2019,1,1,-38.41,-63.61,45,1.74,-0.39,67.3,0,0,0,0,51.8,73,76.2,33.2,4.4,27.6,0.0,60.9,14051,64.3,95.5,1.686398954,0.5,0.866025404,0.0,2331.0,0,57.9,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13183,ARG,South America,Upper-Middle,13-01-2019,1,2,-38.41,-63.61,45,3.74,0.41,94.4,0,0,0,0,17.1,41,58.0,35.0,3.7,13.5,10.6,63.4,14051,72.4,96.4,1.547562509,0.5,0.866025404,0.0,769.5,0,55.13333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13184,ARG,South America,Upper-Middle,20-01-2019,1,3,-38.41,-63.61,45,3.42,-0.33,126.5,0,0,0,0,28.0,19,51.4,35.3,1.4,20.8,0.0,57.5,14051,74.4,95.2,0.875468737,0.5,0.866025404,0.0,1260.0,0,53.7,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13185,ARG,South America,Upper-Middle,27-01-2019,1,4,-38.41,-63.61,45,4.4,-0.9,56.1,0,0,0,0,55.9,86,70.7,21.6,7.7,20.3,5.6,57.1,14051,76.5,100.0,2.163323026,0.5,0.866025404,0.0,2515.5,0,56.26666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13186,ARG,South America,Upper-Middle,03-02-2019,2,5,-38.41,-63.61,45,7.44,0.39,92.7,0,0,0,0,51.6,73,66.3,28.3,3.7,21.7,0.0,59.8,14072,67.7,88.3,1.547562509,0.866025404,0.5,0.0,2322.0,0,54.1,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13187,ARG,South America,Upper-Middle,10-02-2019,2,6,-38.41,-63.61,45,8.96,0.21,90.3,0,0,0,0,40.0,63,60.7,33.1,4.2,25.5,13.8,64.5,14072,61.3,92.3,1.648658626,0.866025404,0.5,0.0,1800.0,0,51.7,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13188,ARG,South America,Upper-Middle,17-02-2019,2,7,-38.41,-63.61,45,8.81,0.14,97.5,1,0,0,1,43.5,61,60.1,38.6,2.5,17.9,23.3,59.8,14072,60.8,94.6,1.252762968,0.866025404,0.5,8.81,1957.5,1,53.16666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13189,ARG,South America,Upper-Middle,24-02-2019,2,8,-38.41,-63.61,45,6.95,0.42,120.1,0,0,0,0,45.2,67,80.0,31.0,7.6,20.3,5.4,59.1,14072,55.7,95.2,2.151762203,0.866025404,0.5,0.0,2034.0,0,55.56666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13190,ARG,South America,Upper-Middle,03-03-2019,3,9,-38.41,-63.61,45,8.44,-0.82,93.1,0,0,0,0,33.4,53,60.8,25.1,0.0,26.1,15.2,59.6,14094,69.3,90.3,0.0,1.0,6.12e-17,0.0,1503.0,0,51.73333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13191,ARG,South America,Upper-Middle,10-03-2019,3,10,-38.41,-63.61,45,7.31,-0.1,71.1,1,0,0,1,85.5,128,75.7,32.0,10.9,21.6,8.2,63.7,14094,74.0,87.5,2.4765384,1.0,6.12e-17,7.31,3847.5,1,60.56666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13192,ARG,South America,Upper-Middle,17-03-2019,3,11,-38.41,-63.61,45,6.42,-0.75,135.2,0,0,0,0,39.2,53,56.0,21.3,3.5,24.1,1.9,59.2,14094,62.7,99.2,1.504077397,1.0,6.12e-17,0.0,1764.0,0,46.66666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13193,ARG,South America,Upper-Middle,24-03-2019,3,12,-38.41,-63.61,45,10.91,-0.17,105.3,0,0,0,0,0.0,10,53.7,35.2,7.1,26.1,19.7,66.3,14094,74.2,100.0,2.091864062,1.0,6.12e-17,0.0,0.0,0,54.36666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13194,ARG,South America,Upper-Middle,31-03-2019,3,13,-38.41,-63.61,45,11.28,0.33,132.4,1,0,0,1,27.0,23,50.5,35.4,6.1,20.4,34.6,58.0,14094,71.5,100.0,1.960094784,1.0,6.12e-17,11.28,1215.0,1,52.46666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13195,ARG,South America,Upper-Middle,07-04-2019,4,14,-38.41,-63.61,45,9.45,0.05,166.6,0,0,0,0,53.2,99,66.7,35.2,0.0,20.8,13.1,64.6,14116,69.2,94.0,0.0,0.866025404,-0.5,0.0,2394.0,0,57.03333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13196,ARG,South America,Upper-Middle,14-04-2019,4,15,-38.41,-63.61,45,8.64,-0.43,109.2,1,0,0,1,45.5,67,54.0,24.7,3.3,23.7,25.1,63.7,14116,73.4,94.5,1.458615023,0.866025404,-0.5,8.64,2047.5,1,50.7,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13197,ARG,South America,Upper-Middle,21-04-2019,4,16,-38.41,-63.61,45,11.0,0.61,98.6,0,0,0,0,64.8,106,85.4,35.9,6.2,29.3,20.2,58.7,14116,59.7,86.1,1.974081026,0.866025404,-0.5,0.0,2916.0,0,60.33333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13198,ARG,South America,Upper-Middle,28-04-2019,4,17,-38.41,-63.61,45,8.41,0.69,179.6,2,0,1,3,60.0,79,69.1,23.7,7.7,49.6,23.4,64.6,14116,56.2,81.3,2.163323026,0.866025404,-0.5,16.82,2700.0,1,49.66666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13199,ARG,South America,Upper-Middle,05-05-2019,5,18,-38.41,-63.61,45,10.8,0.0,65.8,0,0,0,0,43.1,58,50.8,34.7,5.4,28.0,24.7,59.8,14137,66.0,100.0,1.85629799,0.5,-0.866025404,0.0,1939.5,0,50.5,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13200,ARG,South America,Upper-Middle,12-05-2019,5,19,-38.41,-63.61,45,10.47,0.95,138.3,0,0,0,0,38.4,44,84.7,36.9,8.5,21.3,10.3,55.4,14137,69.3,96.0,2.251291799,0.5,-0.866025404,0.0,1728.0,0,63.63333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13201,ARG,South America,Upper-Middle,19-05-2019,5,20,-38.41,-63.61,45,0.49,0.82,162.2,0,0,1,1,16.7,45,56.5,36.6,5.4,55.9,0.4,59.0,14137,64.0,87.8,1.85629799,0.5,-0.866025404,0.0,751.5,1,52.36666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13202,ARG,South America,Upper-Middle,26-05-2019,5,21,-38.41,-63.61,45,5.05,0.15,58.7,0,0,0,0,35.6,64,69.1,26.5,5.2,20.7,5.5,58.2,14137,68.3,95.1,1.824549292,0.5,-0.866025404,0.0,1602.0,0,54.63333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13203,ARG,South America,Upper-Middle,02-06-2019,6,22,-38.41,-63.61,45,6.84,-0.27,82.3,0,0,0,0,55.5,65,79.8,32.6,6.4,24.8,3.0,57.4,14159,63.3,98.5,2.00148,1.22e-16,-1.0,0.0,2497.5,0,58.56666667,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13204,ARG,South America,Upper-Middle,09-06-2019,6,23,-38.41,-63.61,45,6.41,0.53,93.9,0,0,0,0,91.0,144,74.0,28.7,3.2,16.8,8.5,58.4,14159,69.9,91.9,1.435084525,1.22e-16,-1.0,0.0,4095.0,0,57.53333333,3.741917524,21197.74104,0.852,77.2845
2019,Argentina,Buenos Aires,112.02657685614224,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,15.214130204532228,57.85236523008689,13.681973850840947,107.95535365976018,13205,ARG,South America,Upper-Middle,16-06-2019,6,24,-38.41,-63.61,45,1.68,-0.59,100.5,0,0,0,0,36.4,57,61.5,23.0,2.7,20.2,0.7,62.6,14159,66.2,87.9,1.30833282,1.22e-16,-1.0,0.0,1638.0,0,50.23333333,3.741917524,21197.74104,0.852,77.2845
